Unnamed: 0,propagation_type,max_noise,firstPathAmp1,firstPathAmp2,firstPathAmp3,stdNoise,maxGrowthCIR,rxPreamCount,firstPath,LDE_PPINDX,LDE_PPAMPL,first_path_power,first_ratio,index_diff,skewness
0,2,1112,15653,17284,15844,40,10363,878,744,746,17283,-83.63739151,-2.327455433,-2,0.670779852438217
1,2,1107,16796,15360,8721,40,11220,847,745,748,16795,-84.58913806,-3.936497683,-3,-0.61974108
2,2,1225,17842,16537,13660,52,13022,1039,744,747,17841,-85.19025516,-3.409820378,-3,-0.422921552
3,2,1275,17490,18059,14326,52,13918,1039,746,748,18058,-84.87369789,-3.382254519,-2,-0.64396873
4,2,1045,17648,15777,11814,44,12610,1039,748,751,17647,-85.65172622,-3.731665395,-3,-0.406491248
5,2,1130,16618,17101,16191,48,13241,1039,749,751,17100,-84.90760428,-3.199600451,-2,0.0751947761819812
6,2,1318,17246,16450,12253,48,11813,876,743,746,17245,-84.05785171,-3.336470888,-3,-0.637712248
7,2,1038,16859,15849,10357,44,13268,1039,743,747,17408,-86.02233519,-4.323178126,-4,-0.641403516
8,2,1044,17151,16472,13928,44,13451,1039,750,753,17150,-85.29718888,-3.657522922,-3,-0.582193922
9,2,1087,16517,18046,16934,44,14000,1039,751,753,18045,-84.63175089,-3.165819557,-2,0.4922084283307118
10,2,1084,18338,17704,11112,44,14203,1039,745,748,18337,-85.2194464,-3.816035579,-3,-0.687189323
11,2,1279,18305,16770,12413,52,13816,1039,750,753,18304,-85.23521307,-3.71182463,-3,-0.511830855
12,2,1129,17470,16136,14773,48,13463,1039,745,748,17469,-85.16018674,-3.524393514,-3,-0.013168369
13,2,1433,18097,17393,11375,52,13326,923,747,750,18096,-84.26927958,-3.617342911,-3,-0.67833176
14,2,1105,17063,16723,12378,40,11773,864,750,753,17062,-83.90277173,-3.286467579,-3,-0.69365468
15,2,1403,17818,17102,9798,60,13538,1039,744,747,17817,-85.61450796,-4.002841374,-3,-0.686458468
16,2,1221,18138,18247,13330,48,14046,959,743,745,18246,-84.16549808,-3.409751844,-2,-0.705908219
17,2,1104,17148,15678,9537,40,12273,861,749,752,17147,-84.4710914,-4.065634976,-3,-0.603115438
18,2,890,16561,16023,10655,32,10225,855,750,753,16560,-84.3168756,-3.179285734,-3,-0.685577039
19,2,1110,17510,17445,15245,40,12498,889,747,750,17509,-83.48801775,-2.883486997,-3,-0.705085571
20,2,1323,17635,17339,12782,48,12713,890,747,750,17634,-83.8647065,-3.324486104,-3,-0.697700901
